text,actual_label,predicted_label
<USER> I can legitimately say that I would have rather driven cross country than flown on US Airways.,negative,neutral
<USER> where is it coming from? I thought Tampa?,negative,neutral
<USER> checking into a flight on your website is about as easy as asking a bear to shit in a toilet #justsaying,neutral,negative
<USER> cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! <URL>,positive,negative
<USER> Doesn't have to be same flight 2 and 2 will work also,neutral,negative
<USER> my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!,negative,positive
<USER> good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! <URL>,positive,neutral
<USER> will we be able to watch the Oscars on our flight tomorrow?,neutral,negative
<USER> real shit my nigga north don't play around!,neutral,negative
<USER> OMG OMG OMG !!! I JUST DID!!,neutral,positive
"<USER> nope, they just announced we're headed back to the gate.",negative,positive
<USER> No I got to Philly on Monday and got to my final destination South Carolina on Wednesday. Its not acceptable.,negative,neutral
<USER> plus what about food? And taxis?,negative,neutral
<USER> well our plane just landed at the international terminal... so they announced the 10 pm new time.,negative,neutral
<USER> would love to respond to link but supervisor tore ticket up and refused to give me names and hid her badge from me,negative,neutral
<USER> can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR,positive,negative
<USER> I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me,neutral,negative
.<USER> I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.,negative,positive
<USER> any idea what's up with flight AA3181?,negative,neutral
<USER> is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,negative,neutral
"<USER> Coach interior on UA 992 looked like it was salvaged from the 80s. Tiny unusable video, no power &amp; lifevests on the floor #UA992 …",negative,neutral
<USER> would you say a delay is more likely? Thanks so much.,positive,negative
"“<USER>: <USER> We're sorry you were uncomfortable, Andrew. What can we do for you?” SMA",negative,neutral
"<USER> Don't worry, you will! :-)",neutral,negative
"<USER> suggest you failures make a HUGE donation to <USER> Charlotte, NC as THEY provided GREAT customer service today, unlike you.",negative,positive
<USER> Thanks to AA for the upgrade today and getting me on a new flight after my first one was Cancelled Flightled!,positive,negative
<USER> thank you for handling this for me. Glad Southwest cares about what it's flyers think!,positive,negative
<USER> are you anticipating weather-reLate Flightd Cancelled Flightations for afternoon departures out of AUS today?,neutral,negative
<USER> is amazing. Had a short delay. They gave me $150 credit! It was literally pretty much my fault I missed the flight.,positive,negative
"<USER> arrived +-10pm eastern. Had to deplane on the CRJs airstairs to an icy Tarmac. Valet bags sent to carousel, so it was 10:20pm.",negative,neutral
<USER> <USER> 9 empty seats open in 1st on AA1061. No upgrades for a U.S. Gold member? Would love consistent policies.,negative,neutral
<USER> - Group 2 line gets longer every week. Almost no one left for Groups 3-5 anymore. Time to make Explorer Card Group 3?,neutral,negative
<USER> was in the air. Just DMd you,neutral,negative
"<USER> btw, her name was Samantha and she won over everyone on the flight",positive,negative
"<USER> when AA gate supervisor 600117 was asked for his superiors name, response received was ""the CEO of #AmericanAirlines"" #merger",neutral,negative
<USER> I would love to Fort Lauderdale now that would cool.,neutral,positive
<USER> What a really GREAT &amp; FLATTERING story about you! You should be very proud :) <URL> (via <USER>),negative,positive
<USER> although there was a 6 hour delay every single staff member from the ticket desk to the admirals club in was as sweet as pie,positive,negative
<USER> big up the pilot of 644 for turning 1hr on the tarmac to just a 20min delayed arrival,positive,negative
<USER> Really!? That's good to hear! Thanks for the update <USER> We may make that business meeting after all.,positive,negative
"<USER> <USER> <USER> Next thing you know, United will believe they are above the DOT and take them to court. United is anti-consumer",negative,neutral
<USER> have better customer service at John Wayne airport.,negative,positive
"<USER> y airline I fly with, but haven't seen anything like this yet!",negative,positive
"<USER> Cancelled Flights flight Tampa to Philadelphia today due to runway conditions yet tonnes of USAirways flights landing there today, explain!",negative,neutral
<USER> El Paso deals....May❤❤❤😍🌏,positive,neutral
<USER> - kind of early but any idea when dates through the first week of sept will come available?,neutral,negative
<USER> are you ever looking for interns ?,neutral,negative
<USER> today my family gets to experience #mosaic status w/ me! #LifeIsGood,positive,negative
<USER> I have a voucher w swa that expires 4/10. An extension would be a lot of luv,negative,positive
<USER> Giants and Virgin America. A match made in heaven.,positive,negative
<USER> I did. they told us the wrong carousel number.,neutral,negative
<USER> Will the airline refuse my Canadian passport with less than 6 months remaining validity? Going to US.,neutral,negative
<USER> JP - DM message who? Can't get a DM through to <USER>,negative,neutral
<USER> airlines 1st &amp; only time I ever fly your airline! What a disgrace. <USER> I should've listened to your tweet! #HORRIBLE,negative,positive
<USER> I have been on hold for over 28 minutes please help <URL>,neutral,negative
<USER> LITERALLY just told me they'd rather have an empty seat than my mom get to come earlier &amp; take me to Dr. appointment. WOW,negative,neutral
<USER> has no customer service via phone or in person. Just a stone wall with a giant middle finger painted on it.,negative,neutral
"<USER> follows the Talent PM of #BDSM porn site <URL> New ""Economy Dungeon"" class coming? <URL>",negative,neutral
<USER> no thanks,neutral,positive
<USER> !!!!! YAAYY!!! YAY PROM!!!! <URL>,neutral,positive
<USER> that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs,positive,negative
<USER> flight was 2488 out of EWR STOP AT DALLAS THEN TO LA. I need to be in la tonight!,negative,neutral
<USER> aren't you glad this isn't you RT <USER>: Bet these birds wish they'd flown south for the #winter... <URL>,neutral,positive
<USER> Counting on your flight 989 to get to DC!,positive,negative
I know you have a lot of baggage... But i want you to know i really enjoyed being inside you. <USER> #Jetbae,positive,negative
"<USER> my father was kind enough to offer to pay for a hotel, but I can't use this coupon if he pays from FL. no help?",neutral,negative
<USER> Where should I fly by May 3rd? Plz advise.,neutral,negative
<USER> Hi guys. I submitted a request for ticket/hotel reimbursement for a delayed/over night stay coming back from the Dominican. Help?,neutral,negative
"<USER> travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",neutral,negative
<USER> Why do airlines change ticket prices in the middle of the day #annoyed,negative,neutral
<USER> First Officer of UA 1514 checking our 757 prior to departure from EWR yesterday while on his cell. Safety ??? <URL>,neutral,negative
<USER> yes he and all the princesses. Trying to get to the #glassslipperchallenge at WDW.,neutral,negative
"<USER> bet you wont honour them, like mine ey",neutral,positive
<USER> just sent another 4 drink coupons....I think I have over 30 coupons now. free drinks anyone?,positive,negative
"<USER> Umm, can you define 'extra time'?",negative,neutral
<USER> damn weather messing up everything #serenitynow,neutral,negative
<USER> can you tweet #closepwcs to get the word out?😢,negative,neutral
"<USER> Great, thank you!! I'll send it now.",neutral,positive
<USER> I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee,negative,neutral
<USER> Can you advise on what's happening with departure delays from CLT?,negative,neutral
<USER> I think me and my group could use some nice cold drinks once we get in the air...we are all over 21 😜😎,neutral,negative
<USER> yes - tells me the only way to mod plans is to call the 4322 number.,neutral,negative
<USER> <USER> and the hits keep on coming. <URL> #unitedfail #unitedwithivy,negative,neutral
<USER> thanks for getting back to me. But I will find other airlines in the future.,negative,positive
<USER> This link in your tweet goes to someone's internal email -&gt; <URL> Probably one of your 3rd party IT contracts,neutral,negative
<USER> I would go for 3rd time to Jamaica to volunteer w/ at risk youth #flyitforward #dc #stpatricksfoundation #rotary,neutral,negative
<USER> Jackpot! #legroom <URL>,positive,neutral
<USER> Of course U know I would like 2 lay you down in a #BedofRoses as long as they're #mint colored! <URL> #brandmance,positive,neutral
<USER> the whole plane. Flight 561 from LGA to PBI <URL>,neutral,negative
<USER> all good man it isn't your fault that plane is having maintenance issues,positive,negative
<USER> <USER>. I'm flying on one right this minute,neutral,negative
<USER>- can you tell me what the policy is for preboarding with small children? Is that still a thing?,negative,neutral
<USER> who can tell me where they are?,negative,neutral
<USER> I saw it finally come through on the mobile app. However it's for tomorrow and I have meetings tonight that I'm trying to make.,neutral,negative
Eliza &amp; I cheated on u <USER> with <USER> &amp; it was a lovely flight. But we'll be back! Lots!,positive,negative
<USER> - Apology accepted! #customerserviceWIN #itravelalot <URL>,positive,negative
<USER> unfortunately not. I think I watched it take off from the bus. Rebooked for a Late Flightr flight now #planestrainsandautomobiles,neutral,negative
<USER> you have the nicest gate attendant at Newark airport gate 101 right now. Multiple delays and she is still pleasant with everyone.,positive,negative
"<USER> ok, gotcha! ✈️😃👍",positive,neutral
"<USER> 4469, thank you for asking.",neutral,positive
<USER> thanks for reminding me how much easier it is to fly Southwest! Get more agents at sfo 25!,negative,positive
"<USER> me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed",negative,positive
<USER> oh. Makes sense. My bad.,neutral,negative
"<USER> , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",positive,neutral
<USER> happy to enter your sweepstakes again #nutsaboutsouthwest,positive,negative
<USER> Thanks for doing that but now it's telling me to go to the airport and check in with an agent-what's up? <URL>,neutral,negative
<USER> why does it cost $900 to change a $100 ticket when it only cost $150 to purchase a new ticket?,negative,neutral
"<USER> <USER> <USER> all are great , but I have to go with #CarrieUnderwood 😍👌",neutral,positive
"<USER> Not here yet, but I plan on it. If you could have them fly low and slow right in front of me, that would be great. ;-)",neutral,negative
<USER> Seems very likely.,positive,negative
<USER> can't wait!!! 787!!! <USER> <URL>,positive,neutral
<USER> I WOULD DO ANYTHING FOR tickets to the VEGAS... ANYTHING. I love imagine dragons so much!!,positive,neutral
<USER> momma I made it! 😁😁😁,neutral,positive
<USER> btw you guys should consider making a lounge at Austin Intl. airport! Very popuLate Flightd area! Will help the company for sure👌,positive,negative
<USER> what is going on with baggage claim in Newark!#tiredandwanttogohome,negative,neutral
<USER> Barzegar charges tourists 700 euros [!] a night for their stay in the tent village he runs. <URL>,neutral,negative
"<USER> Well, I didn't…but NOW I DO! :-D",positive,neutral
<USER> on the plane now! Hopefully no longer at the mercy of the playlist! Thanks!,positive,negative
"<USER> no, they're too busy being awesome and trying to get us out ASAP. I'll deal.",positive,negative
<USER> thanks for taking such good care of my luggage... <URL>,negative,positive
<USER> this is for a check-in luggage. Employee told me not to include wheels in the dimensions.,neutral,negative
<USER> Hi! Just got my TSA pre-check # &amp; put it in my acct. But it's not on my boarding pass for a flight this p.m.Can it be updated?,negative,neutral
<USER> I was happy to purchase the upgrade. If only it was avail on my next flight.,negative,positive
<USER> I'm flying in a couple of weeks and I need my ticket changed from my maiden name to my married name. Pls help!,negative,neutral
"<USER> seriously, pls pls bring more people up to help us! There are still flights to ORD frm DFW and I want in <URL>",negative,neutral
<USER> I sent a email to customer relations and I will be calling tomorrow.,neutral,negative
<USER> I didn't get a message from you. I'll resend numbers.,negative,neutral
<USER> We're flight 1472 FFL to LGA. Scheduled departure 8:15p.,neutral,negative
Power Moves RT <USER>: Our fleet's on fleek. <URL>,positive,neutral
<USER> Indeed. It was not 😉.,neutral,negative
<USER> Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,neutral,positive
<USER> I understand why the pilot would get on the plane but why 1st class? There were 5 empty coach seats near me? I'm a Premier 1K?,neutral,negative
<USER> have reported it. Still in Istanbul at the moment apparently. On the other plane haha. Hats off to the pilot!,positive,negative
<USER> once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again,negative,neutral
<USER> What's your phone number? Customer service question.,neutral,negative
RT <USER>: Our fleet's on fleek. <URL>,negative,neutral
<USER> but if my bag makes it with me to Greenville tonight then all is forgiven. #HighHopes,neutral,negative
<USER> 77min still on hold to chg award travel #sorrynotsorry,negative,neutral
<USER> I was able to get a seat on earlier flight sfo to ind. Can you add me to 6pm ord to IND?,neutral,negative
<USER> I don't need to rebook I need to know the policy,negative,neutral
<USER> is bag check cut off 30 minutes before the original departure time or the estimated time shown online?,neutral,negative
<USER> sign me up!,positive,negative
<USER> I'm miserable on your Orlando to Vegas nonstop right now. How big must a guest be for u to require 2 seats? I'm in 1A btw.,negative,neutral
<USER> I know your policy. Just asking for a little kindness due to extenuating circumstances.,negative,neutral
<USER> And gold status too.,neutral,negative
<USER> finally rectified my flight situation! Thanks again,positive,negative
<USER> Nashville airport has runways open. It appears southwest is only airline Cancelled Flighting flights. Is this likely to change?,negative,neutral
<USER> Thx Ops Agt Rich Westagard n Flight Att. Nancy @ DEN Airport.Held flight 1027 n even saved seat 4 Bus Select #CustomersFirst!,positive,negative
<USER> Club in Denver is dope 👌,positive,neutral
<USER> thanks! It's hectic for everyone but their actions don't represent the company well IMO,positive,negative
<USER> The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight,neutral,negative
<USER> thank you for the reply. I emailed your customer care department about my experience.,negative,positive
<USER> Mad love <URL> NYC-,neutral,positive
"<USER> nice 2 see U have a sense of humor. #3hourdelay Just want 2 B home but I'll settle for that beer. Once safely in the air, of course",negative,positive
No JetBlue… Just… no “<USER>: Our fleet's on fleek. <URL>,negative,neutral
"<USER> - routing a person from Houston to Newark, NJ and then to SFO is not acceptable.",negative,neutral
"<USER> if my flight says delayed with estimated departure listed, can I arrive at airport Late Flightr?",neutral,negative
<USER> <USER> we done it with 1 truck... No biggie 😄,positive,neutral
<USER> any idea what's going on at terminal five at JFK? Seems to be zero traffic movement,negative,neutral
<USER> Looking forward to some friends and family time in Arizona.,neutral,positive
<USER> Is it only $50 for my 2nd bag? 1st bag too full..,neutral,negative
<USER> 👍. I think I'll come take a nap at the terminal. ;),negative,neutral
"<USER> still can't dm, it's LH7631 on 21/2/15",negative,neutral
"<USER> Would love to DM you, but my Twitter app says you're not following me and I can't.",neutral,negative
“<USER>: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). <URL>,positive,neutral
<USER> here in Austin I saw the water bottles &amp; snacks @ the desk for your waiting passengers! Im so Flight Booking Problems my next flight with you!,positive,negative
"<USER> Yes, please.",positive,neutral
<USER> sure did. I have carried this bag on numerous times on the same style plane. Planning accordingly apparently accounts for nothing,neutral,negative
<USER> thanks but still annoying. Especially if I miss my flight. 😉 Can I tweet at the TSA??,negative,neutral
<USER> thanks! Will you guys be getting the A380s anytime soon?,neutral,positive
<USER> <USER> that totally sucks my cousin worked at PHL said <USER>,negative,positive
<USER> can't change it. True blue points and I can't get to a phone,negative,positive
<USER> looks like Bellagio to me! Good luck people! See you at the show at Vinyl,positive,negative
<USER> probably had money on <USER> they said to hell with <USER> lol,neutral,negative
<USER> - ok noted. All details will be DM'ed to you shortly.,neutral,negative
"<USER> <USER> yes I did. I hope for an update soon, need those clothes for a meeting tomorrow.",negative,neutral
<USER> Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!,neutral,negative
<USER> my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport,negative,neutral
<USER> #FirstClass to #London on my way to #LondonFashionWeek #LFW15 👠🇬🇧👠🇬🇧👠🇬🇧,positive,neutral
<USER> Thanks. Which day of the week is the direct? The flights I saw went thru JFK ☀️,neutral,positive
<USER> you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,positive,neutral
<USER> thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job,positive,negative
<USER> thank you. I will address it with them,positive,neutral
<USER> and <USER> have Cancelled Flightled flights after 525 pm today due to winter storm. Travelers urged to contact carrier for info.,neutral,negative
<USER> <USER> I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel <URL>,positive,negative
<USER> the saga continues..,neutral,negative
<USER> Like <URL>,positive,neutral
<USER> alist pref doesn't do any good if direct to atl is always wifiless. Flight 1701.,negative,neutral
"<USER> - Whoooo Hooooo just crossed 25,367!!! At my current pace I should reach 152,202 for the year.",positive,neutral
<USER> JT thanks for your help I’ll complete the form once we are back home,positive,negative
<USER> Why do I have to pay $ 17 for wifi with an international business ticket? #pennypincher,negative,neutral
