text,actual_label,predicted_label,confidence
"<USER> I was under the impression when there is an 8 hour delay in your flight because of equipment failure, compensation is offered?",neutral,negative,0.99960035
"<USER> the motor that usually starts the engine is broke and <USER> ground crew failed to do it on time, per pilot #maintenance",neutral,negative,0.9981844
<USER> real shit my nigga north don't play around!,neutral,negative,0.9972811
<USER> big up the pilot of 644 for turning 1hr on the tarmac to just a 20min delayed arrival,positive,negative,0.9947078
<USER> unfortunately not. I think I watched it take off from the bus. Rebooked for a Late Flightr flight now #planestrainsandautomobiles,neutral,negative,0.994272
"<USER> my father was kind enough to offer to pay for a hotel, but I can't use this coupon if he pays from FL. no help?",neutral,negative,0.9942568
"<USER> but it's not their fault, because their policy says they at least got us to our destination. Really?",neutral,negative,0.9923962
"<USER> if my flight says delayed with estimated departure listed, can I arrive at airport Late Flightr?",neutral,negative,0.99234664
<USER> Not blaming Jet Blue. This wasn't weather. Can't have planes in the air and runways a mess. That's a disaster waiting to happen.,neutral,negative,0.9916059
"<USER> #epicfail on connections in #Chicago today, extremely disappointed w/ unaccommodating customer service, rethinking loyalty 😐",neutral,negative,0.9915861
<USER> is making dreams come true with their #DestinationDragons scavenger hunt! You can win a chance to see Imagine Dragons! Go!,positive,neutral,0.9882359
<USER> all good man it isn't your fault that plane is having maintenance issues,positive,negative,0.98810965
<USER> just sent another 4 drink coupons....I think I have over 30 coupons now. free drinks anyone?,positive,negative,0.98163015
<USER> sure did. I have carried this bag on numerous times on the same style plane. Planning accordingly apparently accounts for nothing,neutral,negative,0.98098546
<USER> me &amp; <USER> are best friends because of <USER>. Any chance we could get tickets to #DestinationDragons ?,positive,neutral,0.97922486
<USER> Thanks! Sent a DM to you. Let me know if oyu need any additional information.,positive,neutral,0.978327
<USER> they told to check with the airline regulation first so that is why I contacted you.,neutral,negative,0.97780323
<USER> Hi! Just got my TSA pre-check # &amp; put it in my acct. But it's not on my boarding pass for a flight this p.m.Can it be updated?,negative,neutral,0.97778976
"<USER> Great, thank you!! I'll send it now.",neutral,positive,0.97755426
"<USER> no, they're too busy being awesome and trying to get us out ASAP. I'll deal.",positive,negative,0.9774704
<USER> hello I am flying first class and am behind 20 people on zone 1!!!!! Pls pass on to app dept - you should board 1st class first,negative,neutral,0.97595304
"<USER> yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent.",negative,positive,0.9749877
<USER> why does it cost $900 to change a $100 ticket when it only cost $150 to purchase a new ticket?,negative,neutral,0.9743113
<USER> still not in the air for deicing of plane. I'll miss connect but customer service was helpful.I'm hoping to catch the next flight,positive,negative,0.9732006
<USER> Thanks! Good to know.,neutral,positive,0.9710541
<USER> such a bummer. But I understand it's a business deal. Thanks for answering me! Much less sad now.,neutral,negative,0.9708128
